location_type,family_income,financial_aid_status,distance_to_institute,internet_connectivity_issues,motivation_score,career_alignment,stress_levels,family_support,attendance_rate,test_scores_avg,backlogs,teaching_quality_rating,dropout
Semi-urban,12792.0,0,11.0,0,4,2,2,2,62.3,93.9,0,7,0
Rural,5045.0,0,15.24,0,5,2,2,3,59.6,85.6,2,10,0
Rural,7095.0,2,19.18,1,3,1,3,1,61.6,55.4,5,7,1
Rural,3388.0,1,3.15,0,10,3,1,2,28.0,55.8,1,4,0
Urban,9521.0,1,1.7,0,6,2,3,1,12.8,44.5,1,6,1
Semi-urban,11655.0,1,7.2,2,4,2,1,2,89.3,50.3,0,7,0
Semi-urban,23731.0,1,3.6,2,6,3,3,1,81.7,69.6,0,5,0
Urban,14051.0,0,14.9,1,6,3,2,3,55.5,84.1,3,8,0
Semi-urban,13378.0,2,0.7,0,3,1,3,1,20.0,48.2,2,7,1
Urban,2000.0,1,1.6,2,5,3,3,2,36.7,71.3,3,7,1
Urban,4738.0,0,3.6,2,3,1,2,1,70.4,50.7,0,5,1
Rural,4834.0,2,26.4,1,8,3,1,2,25.3,52.9,0,8,0
Rural,8434.0,0,10.3,1,5,1,2,3,65.3,80.5,0,6,0
Semi-urban,13895.0,1,2.0,1,7,3,2,2,45.4,81.9,5,6,1
Rural,2000.0,1,7.98,0,4,3,3,2,51.3,70.0,0,5,1
Semi-urban,13398.0,1,8.7,1,5,2,3,1,81.4,84.9,0,7,0
Rural,4826.0,1,9.77,1,4,2,2,1,55.9,75.4,3,7,1
Rural,18385.0,1,7.31,2,6,3,1,2,80.6,60.4,0,6,0
Semi-urban,19339.0,2,41.5,1,7,2,2,2,38.7,49.4,5,7,1
Rural,4787.0,1,0.65,2,5,2,3,2,78.1,71.6,2,9,0
Semi-urban,19359.0,0,4.2,1,6,1,3,2,52.0,74.2,1,8,0
Urban,20591.0,0,0.5,0,7,3,1,2,27.0,42.0,1,6,0
Rural,25326.0,0,31.1,0,9,3,2,2,61.7,77.2,2,9,0
Rural,5529.0,1,20.99,0,8,3,2,2,60.7,89.9,0,7,0
Rural,3349.0,1,0.77,1,3,2,3,2,33.8,47.2,0,8,1
Semi-urban,8712.0,0,24.7,1,5,1,3,2,49.5,55.5,1,7,1
Rural,9216.0,1,44.44,1,5,2,3,2,53.0,43.6,1,8,1
Urban,6178.0,1,4.6,2,2,2,3,3,56.9,35.0,0,4,1
Semi-urban,5229.0,1,1.9,0,5,2,3,1,63.2,61.0,1,9,0
Urban,2757.0,0,14.7,1,10,3,1,3,84.0,46.6,6,6,1
Urban,14871.0,2,12.6,1,7,3,3,1,79.4,70.3,4,8,0
Urban,38669.0,0,3.3,2,9,3,3,1,91.0,73.6,4,6,1
Rural,2931.0,2,13.63,1,5,1,1,3,97.1,35.0,0,7,0
Rural,3247.0,0,29.1,2,6,2,2,2,50.5,60.4,2,8,1
Rural,13982.0,1,25.04,0,4,1,1,2,56.7,61.2,1,8,0
Rural,9550.0,1,10.47,1,6,2,3,1,92.6,69.9,0,6,0
Semi-urban,4646.0,1,2.6,1,5,1,2,2,95.1,59.8,0,7,0
Rural,4731.0,0,16.75,0,8,2,2,3,28.2,90.0,1,10,0
Semi-urban,2917.0,2,3.0,0,5,3,2,2,54.2,59.8,8,6,1
Semi-urban,11222.0,1,26.9,1,6,2,1,2,11.3,36.6,1,6,0
Rural,3489.0,2,6.64,0,8,3,1,2,93.4,79.0,0,8,0
Rural,11792.0,2,8.57,2,8,2,1,3,86.9,92.7,1,9,0
Urban,8536.0,1,8.3,1,8,2,2,2,29.5,46.9,3,8,1
Rural,16526.0,1,4.28,0,3,3,2,1,21.0,65.3,0,6,1
Urban,18546.0,0,14.9,2,5,2,3,1,76.8,52.9,0,8,0
Urban,2991.0,2,3.4,2,3,1,2,1,44.1,86.1,2,9,1
Urban,4927.0,0,3.5,0,3,3,3,1,74.7,68.8,1,5,1
Rural,7436.0,0,31.17,1,6,2,3,2,13.5,69.0,0,6,1
Semi-urban,5534.0,0,5.6,1,7,2,1,3,28.8,59.0,1,6,0
Semi-urban,5416.0,1,1.8,1,6,2,2,2,69.1,58.6,0,10,0
Semi-urban,23829.0,1,5.8,0,8,3,2,3,77.5,65.5,0,7,0
Rural,2756.0,1,18.07,0,6,3,1,2,43.7,45.1,2,8,1
Rural,7843.0,0,3.28,0,5,3,2,3,56.6,50.7,1,6,0
Urban,7876.0,2,2.8,0,4,1,2,2,53.9,39.9,0,6,0
Rural,2937.0,0,9.56,1,1,1,2,1,21.5,71.4,0,7,1
Urban,38402.0,1,13.2,1,7,2,1,2,76.3,64.6,0,6,0
Rural,3110.0,1,3.52,1,7,1,1,2,66.2,46.9,0,7,0
Semi-urban,2000.0,0,25.9,0,10,3,1,2,57.0,35.0,1,6,0
Urban,6330.0,1,0.5,2,1,2,3,1,58.2,35.0,0,6,1
Urban,40668.0,1,31.4,1,6,3,3,3,38.7,79.1,9,10,1
Rural,4231.0,1,0.8,1,8,2,1,3,23.2,40.0,1,3,1
Semi-urban,5218.0,1,8.2,1,8,3,2,2,85.3,78.6,0,7,0
Rural,5876.0,0,50.0,1,10,3,3,2,11.3,75.2,1,8,1
Rural,9495.0,0,0.88,0,7,3,3,1,61.6,84.3,0,7,0
Rural,10004.0,1,21.72,0,6,1,1,2,77.4,80.1,3,9,0
Rural,25226.0,1,29.12,0,4,2,3,2,75.8,73.4,1,6,0
Rural,21246.0,1,8.01,1,5,2,1,3,10.0,54.9,1,5,0
Rural,7290.0,1,10.64,0,6,2,1,2,53.9,38.9,1,8,0
Semi-urban,14281.0,0,12.7,0,6,2,2,2,60.0,93.7,1,8,0
Urban,21489.0,0,22.2,1,9,3,2,3,95.7,41.0,0,7,0
Rural,3162.0,1,1.77,0,3,2,3,2,66.0,54.3,0,7,1
Urban,5759.0,0,14.9,0,7,2,2,2,68.0,57.4,2,10,0
Semi-urban,37233.0,2,0.5,0,10,2,1,3,61.7,53.3,1,6,0
Rural,2455.0,2,7.53,1,6,3,3,1,72.9,65.7,3,9,1
Urban,5202.0,1,1.4,1,5,1,2,3,25.0,54.4,0,7,0
Urban,26156.0,1,6.4,1,3,2,3,3,57.1,77.7,0,7,0
Semi-urban,40246.0,1,6.2,1,6,2,2,2,92.2,94.0,1,6,0
Urban,5777.0,1,24.3,0,3,2,2,1,31.3,81.6,5,7,1
Urban,27694.0,1,8.1,1,7,2,1,3,69.4,35.0,1,5,0
Semi-urban,5295.0,0,0.5,0,10,2,2,3,63.1,54.2,4,8,1
Urban,26883.0,0,5.5,0,7,2,2,2,52.8,65.4,1,6,0
Urban,49589.0,0,12.0,0,4,1,1,2,10.0,50.5,1,5,1
Semi-urban,11013.0,1,1.9,1,6,3,2,1,52.5,77.5,1,9,0
Semi-urban,38343.0,1,8.2,0,5,2,3,2,13.2,53.5,1,4,0
Semi-urban,6085.0,0,9.3,1,6,3,2,2,46.4,85.2,1,6,1
Rural,15281.0,1,3.43,0,5,1,2,1,51.6,35.0,6,6,1
Semi-urban,27760.0,2,0.5,1,6,3,3,1,58.2,61.0,4,7,1
Urban,4873.0,2,9.8,1,5,1,2,3,26.1,40.2,6,8,1
Urban,16540.0,0,6.9,1,6,2,2,3,66.3,66.8,0,9,0
Rural,17611.0,0,2.16,1,9,2,1,2,53.3,50.5,0,10,0
Semi-urban,22189.0,0,10.5,0,6,2,1,2,89.3,70.5,1,10,0
Rural,2005.0,1,10.16,2,6,2,1,2,74.8,45.9,0,8,0
Semi-urban,9753.0,1,0.5,0,8,2,2,3,73.3,72.4,2,9,0
Rural,9719.0,0,0.68,0,2,1,2,2,75.2,78.1,0,7,0
Semi-urban,5766.0,0,4.8,2,7,2,2,2,54.2,48.3,2,3,1
Urban,20697.0,1,4.8,2,2,1,3,1,11.4,48.1,1,10,1
Rural,4212.0,2,12.61,0,6,3,2,2,62.1,47.1,0,8,0
Urban,11620.0,1,5.8,0,2,2,3,2,49.2,59.5,7,7,1
Rural,25650.0,1,2.36,0,8,3,2,2,40.4,60.1,2,4,0
Semi-urban,19397.0,0,15.8,2,10,3,1,2,84.2,77.0,1,5,0
Semi-urban,15343.0,1,1.1,0,3,1,3,1,42.7,41.5,0,7,1
Rural,20799.0,1,6.38,2,4,2,3,2,76.3,62.5,1,8,0
Rural,12212.0,0,13.19,0,8,3,2,2,37.2,50.9,1,8,1
Urban,28779.0,1,13.6,1,3,3,3,3,51.1,42.7,0,6,1
Semi-urban,12509.0,0,2.7,1,7,2,1,3,59.1,55.4,3,7,1
Rural,3232.0,0,15.59,0,10,3,2,2,86.3,97.0,0,7,0
Semi-urban,22164.0,1,17.2,1,5,2,3,2,39.1,61.0,1,6,1
Rural,5683.0,0,6.97,0,10,3,2,2,10.0,80.7,5,6,1
Semi-urban,9955.0,0,2.5,1,2,1,2,2,62.5,60.9,0,10,1
Urban,2000.0,2,0.5,0,9,2,2,3,53.9,59.5,1,5,0
Semi-urban,10643.0,0,10.9,1,9,3,1,2,46.0,58.4,1,7,0
Urban,28439.0,2,8.5,1,10,3,2,3,66.0,35.0,3,4,0
Semi-urban,32460.0,1,9.6,0,2,1,3,2,66.4,77.0,0,4,1
Semi-urban,6564.0,1,4.8,1,5,2,3,2,76.0,71.1,0,3,0
Rural,4087.0,1,0.71,0,10,3,1,3,79.3,65.0,0,3,0
Rural,2589.0,2,26.0,0,6,1,2,3,35.6,61.2,0,8,0
Semi-urban,5517.0,0,4.4,1,10,3,2,3,50.0,82.4,0,9,0
Rural,10310.0,1,29.85,0,8,2,1,3,51.6,60.8,0,7,0
Semi-urban,4227.0,2,0.6,2,3,1,3,1,84.2,62.2,0,4,0
Semi-urban,4605.0,0,4.3,2,7,2,3,2,54.2,76.6,0,5,1
Rural,8068.0,1,14.56,2,7,2,1,3,22.0,41.8,2,9,1
Rural,5878.0,2,3.86,1,4,2,2,1,11.3,39.7,4,9,1
Rural,39175.0,0,13.02,0,3,2,2,2,50.8,76.4,0,3,1
Rural,5920.0,2,1.27,0,9,3,1,2,91.2,79.2,0,3,0
Rural,5969.0,2,14.48,0,3,1,2,1,82.0,58.6,5,4,1
Urban,7729.0,1,26.2,1,7,2,2,2,73.3,75.6,8,7,1
Rural,20402.0,1,5.22,0,6,2,2,2,80.5,35.0,0,3,0
Rural,8667.0,1,24.72,2,5,2,3,3,40.7,40.6,2,8,1
Urban,36108.0,1,14.9,2,8,2,2,2,14.5,60.0,7,7,1
Semi-urban,25374.0,1,0.5,0,6,2,2,1,70.3,72.9,0,6,0
Urban,46579.0,0,5.2,2,6,2,1,2,90.0,82.7,1,4,0
Rural,11689.0,0,8.42,2,6,3,2,2,84.4,65.8,4,6,1
Rural,10679.0,1,50.0,0,4,1,1,3,65.6,71.8,0,8,0
Semi-urban,9004.0,2,15.3,2,8,2,1,2,11.9,71.7,0,10,0
Semi-urban,11493.0,1,8.9,1,8,2,2,2,90.5,41.0,6,7,1
Semi-urban,41039.0,1,5.0,1,8,3,1,2,10.0,35.0,0,7,0
Rural,7436.0,2,6.67,1,5,1,3,1,52.9,77.8,1,8,1
Urban,7102.0,1,7.6,1,6,2,1,2,63.4,57.5,9,4,1
Rural,12380.0,1,3.54,0,3,2,3,1,33.9,59.2,1,9,1
Urban,36114.0,1,1.6,0,3,1,3,2,31.7,53.0,4,7,1
Semi-urban,4420.0,1,9.1,1,3,1,3,2,21.6,65.7,0,6,0
Urban,46565.0,0,2.0,0,8,2,1,3,70.0,52.6,2,4,0
Semi-urban,11075.0,1,1.3,2,7,2,3,1,72.6,63.3,0,3,0
Rural,3420.0,2,20.88,1,3,1,1,2,75.3,35.0,0,6,0
Rural,18230.0,2,19.23,0,4,2,1,1,77.5,90.6,1,7,0
Rural,14788.0,1,22.82,0,9,3,2,2,49.7,61.5,1,9,0
Semi-urban,12306.0,2,25.2,0,7,2,2,2,53.0,54.1,0,7,0
Urban,25161.0,1,4.7,1,5,2,3,1,61.8,55.0,0,5,0
Semi-urban,13753.0,1,5.4,1,6,3,2,3,68.0,66.3,2,6,0
Rural,6338.0,1,13.34,1,4,2,3,1,48.9,64.3,2,10,1
Urban,33496.0,1,6.8,1,3,3,1,2,67.1,92.0,0,7,0
Urban,28015.0,0,4.6,2,5,2,3,2,34.1,72.2,2,8,1
Semi-urban,7089.0,1,1.3,0,3,2,3,1,44.5,62.2,4,10,1
Urban,5795.0,0,15.4,0,6,2,2,2,57.6,82.3,2,7,0
Semi-urban,3735.0,1,5.9,0,6,2,3,3,23.1,48.3,1,10,1
Rural,23014.0,0,14.64,0,8,2,3,2,82.7,95.4,1,10,0
Urban,50000.0,0,3.2,0,5,1,1,3,76.6,36.4,0,6,0
Rural,3950.0,2,11.78,0,6,1,2,3,79.0,67.2,0,5,0
Urban,50000.0,1,5.8,0,3,2,1,2,74.2,62.1,0,5,0
Semi-urban,16622.0,2,8.8,0,7,3,3,1,73.2,78.6,1,10,0
Semi-urban,3108.0,2,2.5,0,6,1,3,3,71.5,87.4,0,7,0
Urban,5756.0,1,4.8,2,3,2,3,1,62.9,62.9,0,6,1
Semi-urban,8393.0,1,14.7,0,4,2,3,2,41.4,73.6,3,6,1
Rural,10459.0,1,0.78,1,9,3,3,2,97.2,54.3,1,6,0
Semi-urban,8084.0,1,21.4,1,7,2,2,1,76.4,81.0,0,8,0
Semi-urban,15142.0,0,10.0,1,4,1,3,1,70.1,49.1,9,7,1
Semi-urban,4486.0,2,2.0,0,5,1,1,3,56.3,82.5,0,6,0
Urban,8462.0,2,19.1,2,7,2,3,3,10.0,39.9,1,10,0
Rural,49198.0,0,4.28,1,7,2,1,3,43.0,71.1,1,5,0
Urban,8503.0,2,3.1,0,10,3,3,3,35.2,70.1,7,6,1
Urban,25406.0,1,5.2,0,2,2,2,1,71.8,90.7,0,8,0
Rural,4508.0,1,22.52,0,8,2,1,2,10.3,44.7,0,5,0
Semi-urban,9877.0,0,17.5,0,10,2,1,3,16.2,49.1,1,4,0
Rural,4488.0,1,4.9,1,8,3,3,2,10.0,56.0,0,6,0
Semi-urban,25316.0,1,0.5,1,4,1,1,2,61.8,40.6,0,7,0
Urban,5143.0,0,11.2,0,6,2,1,2,49.7,52.1,0,10,0
Rural,33011.0,1,50.0,1,8,2,2,2,12.8,49.7,0,6,0
Urban,18285.0,2,2.6,0,6,2,3,1,62.2,63.0,7,9,1
Urban,44651.0,1,4.5,2,10,3,1,2,43.3,51.6,1,6,0
Semi-urban,11116.0,1,22.3,2,6,3,3,1,54.4,36.8,1,4,1
Semi-urban,5376.0,0,15.3,2,6,3,2,2,92.5,85.2,0,6,0
Semi-urban,10673.0,0,4.6,1,3,1,1,2,81.6,39.3,1,5,1
Rural,6449.0,2,13.88,2,10,2,1,3,57.1,66.1,7,6,1
Rural,14559.0,1,5.94,1,8,3,1,2,70.2,58.3,7,4,1
Urban,12970.0,0,2.1,0,7,2,2,2,91.6,57.0,0,10,0
Semi-urban,17238.0,1,6.5,2,5,1,3,2,78.4,62.1,0,6,0
Semi-urban,16490.0,1,9.3,2,8,3,2,2,73.3,66.7,0,7,0
Urban,20542.0,1,0.5,2,7,2,1,3,95.0,35.0,0,4,0
Urban,16210.0,1,7.8,0,3,2,2,1,95.7,78.0,0,10,0
Urban,11383.0,0,4.5,0,5,2,2,2,52.9,100.0,1,9,0
Semi-urban,6699.0,2,4.8,1,4,1,3,2,19.9,62.6,1,9,0
Urban,4860.0,2,2.7,1,3,1,3,1,66.9,39.1,0,7,1
Rural,11567.0,1,0.83,1,2,2,3,2,21.6,82.9,4,8,1
Semi-urban,5836.0,0,5.9,1,3,1,3,1,18.2,40.0,7,9,1
Urban,11924.0,1,4.0,0,9,3,1,3,38.4,44.0,1,8,0
Rural,4280.0,1,32.33,1,4,2,3,1,73.5,41.3,4,6,1
Urban,2399.0,0,2.8,0,9,2,3,2,75.1,45.0,0,8,0
Urban,5918.0,1,10.6,1,2,2,3,1,76.9,55.7,0,8,0
Semi-urban,2000.0,1,8.3,0,5,2,3,1,48.8,63.9,1,8,0
Urban,19164.0,2,50.0,1,4,1,2,2,57.8,42.0,1,9,1
Urban,3212.0,1,1.7,2,6,2,3,1,42.8,53.8,6,6,1
Rural,20217.0,0,4.36,0,10,3,3,2,70.6,68.2,7,5,1
Urban,7347.0,0,8.6,0,2,1,2,1,24.1,61.7,1,4,1
Rural,4692.0,1,2.75,0,10,2,1,3,42.3,81.9,0,8,0
Rural,30727.0,1,1.76,2,6,2,1,3,69.6,75.1,6,6,1
Urban,3549.0,0,0.6,0,7,2,2,3,18.3,61.7,1,5,0
Semi-urban,5841.0,0,24.2,1,8,3,2,1,71.1,91.2,0,6,0
Semi-urban,11780.0,0,1.0,0,7,2,1,2,66.7,100.0,0,8,0
Rural,6128.0,1,3.33,1,6,2,2,2,13.5,69.2,2,10,0
Rural,9738.0,2,24.97,1,10,3,2,3,78.5,35.0,6,7,1
Semi-urban,3697.0,1,2.4,0,5,2,3,1,83.3,66.4,0,7,0
Semi-urban,14198.0,0,0.8,2,7,2,2,2,13.3,71.7,3,10,1
Urban,9790.0,1,1.6,1,2,1,3,1,92.1,79.5,0,8,0
Semi-urban,3390.0,0,5.6,0,6,2,2,2,94.4,40.2,3,7,1
Urban,48292.0,0,2.7,1,6,2,3,2,62.2,72.5,0,7,0
Semi-urban,12511.0,1,0.6,0,7,2,1,2,43.7,92.3,3,8,0
Urban,21429.0,1,0.7,0,2,3,3,1,71.4,35.0,0,4,0
Urban,12288.0,0,3.7,1,5,3,2,1,91.3,100.0,0,8,0
Semi-urban,7968.0,0,16.4,2,2,2,3,1,26.3,35.0,7,7,1
Urban,9354.0,0,0.5,0,7,3,1,3,80.0,37.0,0,4,0
Semi-urban,7301.0,0,3.2,0,5,2,3,1,70.0,78.8,0,10,0
Urban,14016.0,1,1.1,0,5,1,2,3,53.9,42.1,1,6,0
Urban,4582.0,2,1.7,1,3,3,2,1,56.6,69.6,1,9,0
Semi-urban,9042.0,0,10.2,1,3,1,1,2,27.2,48.8,1,4,1
Semi-urban,2064.0,1,3.5,1,6,3,2,3,90.9,79.0,0,5,0
Urban,17606.0,1,4.3,2,5,2,3,2,75.6,53.3,0,8,0
Semi-urban,6934.0,0,7.5,1,3,3,2,1,81.9,50.9,0,9,0
Semi-urban,2000.0,1,12.1,2,6,2,2,3,67.8,58.8,0,8,0
Semi-urban,5699.0,1,0.9,0,4,2,3,1,83.8,35.0,1,3,1
Semi-urban,3563.0,1,0.6,1,4,1,2,2,10.3,62.0,0,8,0
Semi-urban,27600.0,1,13.5,2,5,3,3,1,89.4,81.6,6,7,1
Semi-urban,4888.0,0,6.1,0,6,1,2,3,91.4,68.9,0,6,0
Semi-urban,11408.0,1,0.8,0,7,2,1,2,60.9,87.4,0,8,0
Rural,4588.0,0,32.18,1,6,2,3,2,73.0,59.2,8,7,1
Urban,8342.0,2,3.0,0,6,3,3,1,67.4,43.2,2,6,0
Urban,14515.0,2,14.4,0,6,1,2,2,65.8,92.3,1,8,0
Semi-urban,11378.0,0,3.3,0,7,2,3,2,43.5,72.3,1,7,0
Rural,9844.0,0,10.57,0,8,2,3,2,23.4,45.2,1,5,1
Urban,13124.0,0,6.1,0,4,2,3,2,38.3,71.5,1,6,1
Semi-urban,39816.0,0,6.5,0,5,3,3,2,71.9,78.7,6,6,1
Semi-urban,2752.0,1,16.1,1,7,2,3,3,71.2,56.5,4,7,1
Semi-urban,27443.0,2,11.0,2,3,1,2,1,53.3,41.6,0,7,1
Rural,2373.0,0,9.71,1,6,1,3,2,51.3,48.2,2,7,1
Rural,17452.0,1,20.58,0,3,1,2,1,67.5,48.9,1,8,1
Rural,7136.0,0,6.29,2,7,2,2,3,69.2,63.6,7,6,1
Urban,8915.0,1,8.2,1,2,1,2,2,37.7,35.0,1,7,1
Urban,15671.0,0,1.0,0,4,1,2,1,16.2,38.9,3,8,1
Rural,3688.0,1,1.5,0,6,2,2,2,70.3,96.7,0,9,0
Urban,11005.0,0,1.0,0,8,2,2,3,85.3,50.0,0,5,0
Urban,17211.0,1,2.2,0,4,1,3,2,58.6,35.0,0,4,0
Urban,11489.0,1,16.8,1,8,2,1,3,45.7,39.3,1,6,0
Rural,8132.0,1,11.54,2,3,2,2,1,10.0,51.0,2,3,1
Urban,2801.0,0,6.6,1,7,3,2,1,66.8,72.2,0,9,0
Urban,8152.0,0,1.3,1,8,2,1,3,84.2,59.4,2,6,0
Urban,14122.0,1,11.4,1,5,1,3,2,71.0,57.6,0,8,0
Rural,10339.0,1,24.77,0,2,2,3,2,41.2,41.4,1,10,1
Semi-urban,47753.0,0,17.7,1,5,1,1,2,84.6,53.4,3,6,1
Semi-urban,14559.0,2,3.1,1,7,1,1,3,73.5,67.1,0,8,0
Urban,12949.0,1,1.4,0,1,2,3,1,62.3,42.4,0,3,1
Urban,20719.0,2,23.7,1,4,2,3,2,68.9,51.4,7,6,1
Urban,27795.0,1,3.4,1,10,3,1,2,79.3,80.7,0,8,0
Urban,7558.0,1,9.9,1,7,2,1,3,49.6,95.3,3,9,0
Semi-urban,6370.0,0,25.3,0,9,3,1,2,34.5,35.0,1,7,1
Rural,14669.0,0,15.43,2,7,3,3,2,71.0,76.1,0,7,0
Urban,50000.0,1,0.9,0,5,1,1,2,20.4,67.2,0,8,0
Semi-urban,6116.0,2,0.5,0,5,1,2,3,48.3,56.8,1,8,0
Rural,3823.0,1,0.84,1,5,2,2,2,74.7,80.9,0,10,0
Urban,50000.0,1,3.5,2,3,1,3,2,34.7,64.3,2,6,1
Semi-urban,3020.0,2,1.9,1,7,2,2,2,59.0,45.1,6,5,1
Rural,9431.0,1,5.7,2,4,2,3,1,10.0,77.9,5,5,1
Rural,25424.0,2,16.27,1,8,2,1,2,91.5,50.3,0,5,0
Urban,8127.0,0,1.4,1,3,3,3,3,36.4,68.5,4,6,1
Semi-urban,9033.0,1,5.4,2,5,2,1,1,76.4,60.7,9,8,1
Semi-urban,31471.0,1,2.0,1,6,2,3,2,35.4,63.4,0,5,0
Semi-urban,18762.0,1,4.8,0,8,2,2,2,12.6,38.5,1,10,0
Semi-urban,9984.0,1,0.5,0,7,2,1,2,59.8,55.2,1,7,0
Rural,4734.0,0,7.99,1,4,2,2,2,71.3,58.0,0,7,0
Semi-urban,28994.0,1,1.5,1,4,1,2,2,30.3,75.0,9,7,1
Rural,5793.0,2,14.67,0,4,2,1,2,95.2,98.9,0,7,0
Urban,9476.0,1,2.9,1,4,3,3,2,17.2,35.0,1,6,1
Rural,33119.0,2,1.77,1,3,1,2,2,59.7,59.9,1,6,0
Urban,15611.0,1,10.6,2,6,3,3,3,76.3,48.7,3,8,1
Rural,2909.0,2,20.45,1,4,2,3,1,40.5,52.9,4,10,1
Rural,5934.0,1,2.2,1,3,1,1,2,57.9,42.0,1,6,1
Rural,8200.0,1,4.74,1,6,3,1,2,47.9,50.4,2,8,1
Rural,6174.0,1,2.43,1,10,2,2,3,81.5,61.5,1,8,0
Semi-urban,3416.0,1,4.5,1,9,2,2,2,55.9,62.6,0,10,0
Rural,3725.0,1,7.75,0,10,3,1,2,50.0,69.0,9,6,1
Rural,7066.0,0,0.86,0,3,1,3,2,50.7,56.2,2,6,1
Rural,2290.0,0,6.62,2,9,3,2,2,90.2,43.3,0,6,0
Rural,6112.0,1,3.05,1,10,2,1,3,74.1,49.5,0,5,0
Rural,16135.0,0,12.86,0,5,2,3,1,74.2,43.2,0,4,1
Urban,4384.0,1,2.1,0,4,1,3,3,66.0,52.6,7,5,1
Rural,2324.0,1,19.16,1,4,3,2,1,56.7,65.5,0,5,0
Semi-urban,14171.0,1,0.5,2,7,2,2,3,27.1,52.7,2,5,0
Rural,11632.0,1,6.44,0,2,1,3,1,58.6,84.1,3,10,1
Rural,19330.0,0,45.03,1,3,1,2,1,76.7,63.4,2,7,1
Rural,8598.0,0,18.22,0,6,3,3,2,71.8,79.4,0,5,0
Rural,5576.0,1,14.17,1,6,2,1,2,78.7,84.7,1,8,0
Rural,2000.0,1,2.68,2,3,2,2,2,72.9,65.6,0,7,0
Semi-urban,20781.0,1,1.1,1,2,1,2,1,44.0,77.0,2,6,1
Semi-urban,3088.0,1,33.1,0,5,2,3,1,41.6,56.3,0,3,1
Urban,9683.0,0,12.8,1,3,2,3,1,43.9,42.3,0,7,1
Urban,18709.0,1,21.9,2,5,1,2,2,96.7,68.1,0,7,0
Semi-urban,5260.0,1,1.2,0,7,2,1,2,86.4,85.6,0,7,0
Urban,20808.0,2,0.9,0,8,2,3,2,10.0,72.7,1,6,0
Urban,32868.0,1,0.8,0,5,1,1,2,33.4,52.6,7,6,1
Rural,5232.0,0,2.86,0,4,3,3,3,54.5,72.6,1,6,0
Semi-urban,11452.0,1,11.3,2,7,2,1,3,72.0,81.6,2,9,0
Urban,17372.0,2,0.5,0,5,2,2,2,41.9,63.6,0,5,0
Rural,11089.0,2,49.42,0,4,2,3,1,15.0,53.3,0,5,1
Rural,7148.0,0,20.42,1,4,2,2,2,27.4,67.9,2,8,1
